Entity;Year;Change in female height (cm);Change in male height (cm);mean male height;mean female height;Change in male height(%);Change in female height (%);Calories from animal protein;Human Development Index (UNDP);Continent;Mortality
Gambia;1996;5.4115209;4.6892931;165.401738;160.9349588;2.917815794;3.47955329;156.72;0.36;Africa;13,32
Georgia;1996;9.3718068;9.9327123;174.3410018;162.9846123;6.041491174;6.10092809;52.4;;Asia;4,2022
Germany;1996;9.8703201;12.7235495;179.8811774;165.8635947;7.611707381;6.327401053;90.6;0.839;Europe;0,6200000000000001
Ghana;1996;4.5987534;6.4760533;168.8493553;157.9096124;3.988373224;2.99962666;227.68;0.474;Africa;11,2021
Greece;1996;14.3043699;14.7988233;177.3160349;164.8744011;9.106003699;9.500144076;61.28;0.772;Europe;0,81
Greenland;1996;14.5077719;15.4017259;174.8661197;161.546615;9.658410591;9.86662544;240.48;;North America;
Grenada;1996;10.7119423;12.444657;176.9666751;164.51315;7.564128585;6.96479726;;;North America;1,7000000000000002
Guatemala;1996;9.0986229;9.52529;163.4083889;149.3886728;6.189952027;6.485579631;156.12;0.515;North America;6,2013
Guinea;1996;4.1782473;4.1890875;167.5446232;157.8016209;2.564398863;2.719799209;53.32;0.299;Africa;19,180000000000003
Guinea-Bissau;1996;5.5105437;5.0513733;167.8983809;158.2362631;3.101913492;3.608130786;27.24;;Africa;19,340000000000003
Guyana;1996;9.261397;10.3016976;170.2102541;157.917772;6.442242883;6.230070523;35.88;0.589;South America;11,2022
Haiti;1996;8.9838153;10.9448807;172.6377544;158.7153844;6.768932019;5.999947342;132.76;0.427;North America;11,1996
Honduras;1996;10.3232153;8.0199867;166.3933792;153.8415634;5.063973546;7.192958557;26.8;0.534;North America;4,1943
Hong Kong;1996;12.9973069;13.8994224;173.6138509;159.0254026;8.702671719;8.900552211;86.68;0.811;Asia;
Hungary;1996;10.4064652;10.9537564;177.264876;163.6605581;6.586304287;6.790334276;277.88;0.746;Europe;1,1900000000000002
Iceland;1996;7.3951508;9.9517955;180.49156;165.9463555;5.83546924;4.664203475;185;0.831;Europe;0,5
India;1996;4.6194904;2.9851723;164.9458981;152.589635;1.843145791;3.121907066;297.48;0.467;Asia;10,1961
Indonesia;1996;8.0957418;8.9059469;163.5516538;152.7990437;5.75893575;5.594718084;38.28;0.577;Asia;6,3100000000000005
Iran;1996;11.1265901;16.5129475;173.5713082;159.6668765;10.51389269;7.490621144;50.52;0.647;Asia;4,2299999999999995
Iraq;1996;8.9897699;11.1731925;170.4300961;158.6735735;7.015829297;6.0058401;77.04;0.573;Asia;4,7700000000000005
Ireland;1996;11.16151;12.5605795;178.9251638;165.1137476;7.550032089;7.249982315;21.4;0.801;Europe;0,73
Israel;1996;9.8087342;13.4558239;176.859217;161.8040824;8.234727349;6.453312102;263.4;0.828;Asia;0,82
Italy;1996;11.1055177;13.0566994;177.7676279;164.6091934;7.927038915;7.23469171;238.64;0.806;Europe;0,7000000000000001
Jamaica;1996;10.8605026;11.4693101;174.5282957;163.1212268;7.033841194;7.132832618;239.2;0.66;North America;5,2022
