Code;Calories from animal protein (FAO (2017));Mean male height (cm)
LBN;113.8;175.001588
LBN;105.84;174.9732104
LBN;101.64;174.9351741
LBN;95.4;174.8891639
LBN;101.56;174.8381287
LBN;102.64;174.7842695
LBN;96.96;174.7278571
LBN;103.6;174.6713746
LBN;110;174.6153648
LBN;117.12;174.5589979
LBN;114.16;174.5021358
LBN;111.4;174.4454027
LBN;145.08;
LBN;133.56;
LBN;141.32;
LBN;142.4;
LBN;137.04;
LBN;145.48;
LBN;142.44;
LBN;139.24;
LBN;136.36;
LBN;135.92;
LBN;134.4;
LBN;137.52;
LBN;139.16;
LBN;123;
LBN;118.32;
LBN;116.2;
LBN;117.28;
LBN;;160.7137373
LBN;;160.8823309
LBN;;161.0508546
LBN;;161.2198467
LBN;;161.388707
LBN;;161.5574624
LBN;;161.7265184
LBN;;161.8963883
LBN;;162.0663664
LBN;;162.2367911
LBN;;162.4073023
LBN;;162.5786522
LBN;;162.7509794
LBN;;162.9245333
LBN;;163.1001644
LBN;;163.2787697
LBN;;163.4609576
LBN;;163.6464963
LBN;;163.8354208
LBN;;164.0281667
LBN;;164.2245722
LBN;;164.4247216
LBN;;164.6296143
LBN;;164.8371991
LBN;;165.046307
LBN;;165.2560342
LBN;;165.4638143
LBN;;165.669193
LBN;;165.8708668
LBN;;166.0695985
LBN;;166.2654036
LBN;;166.460286
LBN;;166.6542912
LBN;;166.8470767
LBN;;167.0391963
LBN;;167.2301167
LBN;;167.4191654
LBN;;167.6070072
LBN;;167.7945853
LBN;;167.9821098
LBN;;168.1690854
LBN;;168.3554245
LBN;;168.5412757
LBN;;168.7269095
LBN;;168.9126237
LBN;;169.099425
LBN;;169.2879768
LBN;;169.4795048
LBN;;169.6731908
LBN;;169.8681465
LBN;;170.0640846
LBN;;170.2588307
LBN;;170.451907
LBN;;170.6424019
LBN;;170.8296752
LBN;;171.0134287
LBN;;171.1939869
LBN;;171.3727613
LBN;;171.5503836
LBN;;171.7263761
LBN;;171.9011084
LBN;;172.0754222
LBN;;172.2496149
LBN;;172.4228614
LBN;;172.5951718
LBN;;
LSO;43.76;167.498896
LSO;45.24;167.5993199
LSO;41.8;167.6903314
LSO;41.56;167.7695671
LSO;44.08;167.8369954
LSO;35;167.8934899
LSO;37.24;167.9401486
LSO;34.36;167.9790428
LSO;35.4;168.0116361
LSO;38.72;168.0390354
LSO;43.64;168.0614596
LSO;46.28;168.0789917
LSO;44.64;168.0923526
LSO;44.04;168.1006774
LSO;42.2;168.1017137
LSO;41.72;168.0934592
LSO;43.24;168.0735793
LSO;46.44;168.0411199
LSO;47.24;167.9955338
LSO;50.52;167.9369401
LSO;48.44;167.86582
LSO;59.16;167.7822569
LSO;70.84;167.685026
LSO;63.32;167.5745811
LSO;57.32;167.4502856
LSO;53.32;167.3127626
LSO;51.64;167.1628595
LSO;47.84;167.002461
LSO;42.56;166.8346263
LSO;39.84;166.6610609
LSO;39.84;166.4844113
LSO;41.32;166.3063102
LSO;41.68;166.1275294
LSO;38.84;165.9485161
LSO;35.04;165.7693052
LSO;36.04;
LSO;34;
LSO;37.56;
LSO;38.76;
LSO;39.96;
LSO;40.32;
LSO;39.08;
LSO;39.08;
LSO;40.16;
LSO;47.12;
LSO;41.84;
LSO;41.96;
LSO;42.76;
LSO;44.12;
LSO;48;
LSO;45.64;
LSO;51.12;
LSO;;161.3197288
LSO;;161.3881567
LSO;;161.456821
LSO;;161.5254616
LSO;;161.5938588
LSO;;161.6625186
LSO;;161.7316137
LSO;;161.8006358
LSO;;161.8700134
LSO;;161.939524
LSO;;162.0087234
LSO;;162.0781002
LSO;;162.1482027
LSO;;162.2188554
LSO;;162.2900475
LSO;;162.3628624
LSO;;162.4378732
LSO;;162.5147365
LSO;;162.5933796
LSO;;162.6735258
LSO;;162.7548284
LSO;;162.836967
LSO;;162.9205919
LSO;;163.003945
LSO;;163.0867757
LSO;;163.1682878
LSO;;163.2479539
LSO;;163.3263322
LSO;;163.40407
LSO;;163.4835245
LSO;;163.5658198
LSO;;163.6524805
LSO;;163.7437264
LSO;;163.8386583
LSO;;163.9365866
LSO;;164.036658
LSO;;164.1386208
LSO;;164.2424832
LSO;;164.3479955
LSO;;164.4553378
LSO;;164.564182
LSO;;164.6731484
LSO;;164.7823723
LSO;;164.8908229
LSO;;164.998465
LSO;;165.1062539
LSO;;165.2155139
LSO;;165.3279071
LSO;;165.4431596
LSO;;165.5607067
LSO;;165.68149
LSO;;165.804951
LSO;;165.9305378
LSO;;166.0576608
LSO;;166.1855659
LSO;;166.3127629
LSO;;166.4387132
LSO;;166.5633743
LSO;;166.6865003
LSO;;166.8078867
LSO;;166.927765
LSO;;167.0463734
LSO;;167.1640102
LSO;;167.2790459
LSO;;167.3913264
LSO;;
LBR;37.72;165.3154434
LBR;35.4;165.4018491
LBR;31.36;165.4792045
LBR;30;165.5459728
LBR;31.96;165.6031406
LBR;35.08;165.6514194
LBR;36.72;165.6926553
LBR;35.24;165.7280123
LBR;34.52;165.7589175
LBR;38.2;165.7869984
LBR;41.6;165.8117619
LBR;38.64;165.8328576
LBR;41.28;165.851538
LBR;39.04;165.8670909
LBR;38.64;165.8781935
LBR;38.88;165.8820234
LBR;42.32;165.8761212
LBR;42.08;165.8584822
LBR;45.52;165.8288455
LBR;46.32;165.7870123
LBR;43.12;165.7331806
LBR;45.68;165.6668091
LBR;49.52;165.5861787
LBR;45.52;165.4918551
LBR;46.72;165.3839828
LBR;47.64;165.2625481
LBR;50.88;165.1282315
LBR;42;164.9827331
LBR;39.52;164.8285234
LBR;28.52;164.6675247
LBR;29.16;164.5026704
LBR;29.64;164.3357044
LBR;28.08;164.167445
LBR;26.88;163.9986525
LBR;26.72;163.8296614
LBR;27;
LBR;26.24;
LBR;28.32;
LBR;25.88;
LBR;21.88;
LBR;19.64;
LBR;20.32;
LBR;25.04;
LBR;25.04;
LBR;21.76;
LBR;24.24;
LBR;24.04;
LBR;23.12;
LBR;26.36;
LBR;31.68;
LBR;32.64;
LBR;32.56;
LBR;;158.6710908
LBR;;158.737032
LBR;;158.8033106
LBR;;158.8694141
LBR;;158.9355045
LBR;;159.0014841
LBR;;159.067959
LBR;;159.1347057
LBR;;159.2020647
LBR;;159.2691431
LBR;;159.3360675
LBR;;159.4037275
LBR;;159.4727816
LBR;;159.5423046
LBR;;159.6130929
LBR;;159.6859301
LBR;;159.7612625
LBR;;159.8388578
LBR;;159.9186384
LBR;;160.000299
LBR;;160.0840571
LBR;;160.1697035
LBR;;160.256865
LBR;;160.3443341
LBR;;160.4316915
LBR;;160.5188845
LBR;;160.6057214
LBR;;160.6927575
LBR;;160.7807806
LBR;;160.8719366
LBR;;160.9677623
LBR;;161.0689791
LBR;;161.1760505
LBR;;161.2880738
LBR;;161.4048248
LBR;;161.5250869
LBR;;161.6476728
LBR;;161.7730104
LBR;;161.9005243
LBR;;162.0302418
LBR;;162.1616298
LBR;;162.2935553
LBR;;162.4256596
LBR;;162.5570576
LBR;;162.6875955
LBR;;162.8175419
LBR;;162.9483344
LBR;;163.08153
LBR;;163.2167533
LBR;;163.353934
LBR;;163.4934879
LBR;;163.6342942
LBR;;163.7758825
LBR;;163.9176778
LBR;;164.0579697
LBR;;164.1950832
LBR;;164.3275086
LBR;;164.4551905
LBR;;164.5772398
LBR;;164.6946014
LBR;;164.8074598
LBR;;164.9166703
LBR;;165.0223223
LBR;;165.1241509
LBR;;165.2223189
LBR;;
LBY;;161.2645109
LBY;;161.4402576
LBY;;161.6161091
LBY;;161.7923786
LBY;;161.968936
LBY;;162.1456937
LBY;;162.3227616
LBY;;162.5001127
LBY;;162.6774876
LBY;;162.8551945
LBY;;163.0329575
LBY;;163.210884
LBY;;163.3899288
LBY;;163.5698323
LBY;;163.7514842
LBY;;163.935467
LBY;;164.1227765
LBY;;164.3132528
LBY;;164.5062449
LBY;;164.7024184
LBY;;164.9015534
LBY;;165.1036611
LBY;;165.3100859
LBY;;165.5184102
LBY;;165.7274656
LBY;;165.9357336
LBY;;166.1410628
LBY;;166.3428032
LBY;;166.5399449
LBY;;166.7331612
LBY;;166.9223592
LBY;;167.1092936
LBY;;167.2937407
LBY;;167.4758512
LBY;;167.6556174
LBY;;167.8330123
LBY;;168.0069552
LBY;;168.1785184
LBY;;168.3484864
LBY;;168.516814
LBY;;168.6830125
LBY;;168.8474837
LBY;;169.0099282
LBY;;169.1707208
LBY;;169.3304188
LBY;;169.4894129
LBY;;169.6488989
LBY;;169.8097488
LBY;;169.9712962
LBY;;170.1328772
LBY;;170.294315
LBY;;170.4534732
LBY;;170.6103661
LBY;;170.7639827
LBY;;170.9140158
LBY;;171.0600867
LBY;;171.2024866
LBY;;171.3429599
LBY;;171.482539
LBY;;171.620736
LBY;;171.7581107
LBY;;171.8955116
LBY;;172.0335194
LBY;;172.1712553
LBY;;172.3085113
LBY;;172.4448207
LBY;;172.5784238
LBY;;172.7071019
LBY;;172.8294842
LBY;;172.9469274
LBY;;173.0619639
LBY;;173.1751025
LBY;;173.2864258
LBY;;173.3976264
LBY;;173.5080858
LBY;;173.6162692
LBY;;173.7208251
LBY;;173.8206857
LBY;;173.9143546
LBY;;173.9993001
LBY;;174.0726237
LBY;;174.1309997
LBY;;174.1738327
LBY;;174.2019913
LBY;;174.2171005
LBY;;174.2212636
LBY;;174.215753
LBY;;174.2000289
LBY;;174.1747934
LBY;;174.1402775
LBY;;174.0975767
LBY;;174.0480056
LBY;;173.9939892
LBY;;173.9375802
LBY;;173.8795839
LBY;;173.8212747
LBY;;173.7634958
LBY;;173.7054251
LBY;;173.646476
LBY;;173.5874208
LBY;;
LIE;;
LTU;145.64;177.3182119
LTU;152.68;177.4918282
LTU;160.6;177.6546103
LTU;149.52;177.8039635
LTU;152.88;177.9400608
LTU;158.96;178.0633863
LTU;170.2;178.1739018
LTU;175.96;178.2717554
LTU;180.28;178.358992
LTU;185.24;178.4362716
LTU;186.76;178.5038685
LTU;191.2;178.561573
LTU;190.76;178.6110033
LTU;203.8;178.6521054
LTU;210.64;178.6858741
LTU;203.68;178.7126651
LTU;200.84;178.7330332
LTU;205.6;178.7477117
LTU;207.28;178.7578978
LTU;204.16;178.7656691
LTU;204.48;178.7738298
LTU;202.96;178.7828464
LTU;205.44;178.7935142
LTU;212.12;178.8065303
LTU;216.76;178.8200714
LTU;220.48;178.834222
LTU;221.6;178.8485719
LTU;223.64;178.8632903
LTU;226.44;178.8791599
LTU;225.48;178.8967175
LTU;201.48;178.9162684
LTU;208.08;178.9373681
LTU;188.72;178.9597737
LTU;183.24;178.9823355
LTU;170.48;179.0054552
LTU;163.12;
LTU;165.76;
LTU;182.48;
LTU;204.72;
LTU;208.68;
LTU;224.64;
LTU;230.56;
LTU;264.6;
LTU;280.92;
LTU;289.32;
LTU;305;
LTU;318.32;
LTU;309.32;
LTU;296.4;
LTU;292.88;
LTU;303.84;
LTU;305.96;
LTU;;168.9289038
LTU;;169.0199433
LTU;;169.111134
LTU;;169.202799
LTU;;169.2945907
LTU;;169.3863423
LTU;;169.4784853
LTU;;169.5709531
LTU;;169.6629003
LTU;;169.7549168
LTU;;169.8464725
LTU;;169.9384898
LTU;;170.030719
LTU;;170.1236625
LTU;;170.2172313
LTU;;170.3124446
LTU;;170.4089269
LTU;;170.5068609
LTU;;170.6058914
LTU;;170.7063509
LTU;;170.8078098
LTU;;170.9100211
LTU;;171.0117735
LTU;;171.111793
LTU;;171.2084003
LTU;;171.3009878
LTU;;171.3888896
LTU;;171.4725617
LTU;;171.5527083
LTU;;171.6330746
LTU;;171.7154377
LTU;;171.8026402
LTU;;171.8957404
LTU;;171.9957409
LTU;;172.1026424
LTU;;172.2161207
LTU;;172.3353068
LTU;;172.4610082
LTU;;172.5932063
LTU;;172.7321777
LTU;;172.8768287
LTU;;173.0253126
LTU;;173.1768037
LTU;;173.3304017
LTU;;173.4863871
LTU;;173.6454588
LTU;;173.8089259
LTU;;173.9771509
LTU;;174.149794
LTU;;174.3266198
LTU;;174.5074479
LTU;;174.691381
LTU;;174.8777673
LTU;;175.0655738
LTU;;175.2546091
LTU;;175.4436795
LTU;;175.6323331
LTU;;175.8213447
LTU;;176.0103708
LTU;;176.1991159
LTU;;176.387153
LTU;;176.5755539
LTU;;176.7637535
LTU;;176.9513774
LTU;;177.1370343
LTU;;
LUX;269.84;
LUX;300.4;
LUX;289.76;
LUX;297.28;
LUX;299.56;
LUX;302.24;
LUX;294.32;
LUX;287.84;
LUX;283.52;
LUX;273.08;
LUX;271.2;
LUX;285.16;
LUX;294.24;
LUX;288.48;
LUX;;167.3300195
LUX;;167.4689554
LUX;;167.6078184
LUX;;167.7466602
LUX;;167.8851666
LUX;;168.0242867
LUX;;168.1641398
LUX;;168.3041283
LUX;;168.4445876
LUX;;168.5850452
LUX;;168.7251347
LUX;;168.8658659
LUX;;169.0081894
LUX;;169.1526177
LUX;;169.2998067
LUX;;169.4516785
LUX;;169.6091673
LUX;;169.7712812
LUX;;169.9373408
LUX;;170.1056215
LUX;;170.2743095
LUX;;170.4420963
LUX;;170.6078802
LUX;;170.7706797
LUX;;170.9300206
LUX;;171.0858172
LUX;;171.2372348
LUX;;171.3836932
LUX;;171.5263817
LUX;;171.6689742
LUX;;171.8131565
LUX;;171.9606872
LUX;;172.1127648
LUX;;172.2687309
LUX;;172.4285255
LUX;;172.5906652
LUX;;172.7541325
LUX;;172.9200711
LUX;;173.0883091
LUX;;173.2566333
LUX;;173.4219507
LUX;;173.5817108
LUX;;173.7344596
LUX;;173.8796664
LUX;;174.0169874
LUX;;174.1472412
LUX;;174.2730746
LUX;;174.3979352
LUX;;174.5233922
LUX;;174.6507516
LUX;;174.7823322
LUX;;174.9178036
LUX;;175.0576671
LUX;;175.2007925
LUX;;175.3467792
LUX;;175.4937972
LUX;;175.6413205
LUX;;175.7900036
LUX;;175.939558
LUX;;176.0885844
LUX;;176.235253
LUX;;176.3803887
LUX;;176.5234445
LUX;;176.6639444
LUX;;176.800231
LUX;;176.931993
LUX;;177.0570151
LUX;;177.1731166
LUX;;177.2774462
LUX;;177.3701663
LUX;;177.4533705
LUX;;177.5298167
LUX;;177.6014915
LUX;;177.6693851
LUX;;177.7340182
LUX;;177.7950369
LUX;;177.8517183
LUX;;177.9028291
LUX;;177.947197
LUX;;177.9837117
LUX;;178.0122783
LUX;;178.0327734
LUX;;178.0452789
LUX;;178.051692
LUX;;178.0537332
LUX;;178.0538841
LUX;;178.052968
LUX;;178.0501221
LUX;;178.0444742
LUX;;178.0355265
LUX;;178.0236319
LUX;;178.0088499
LUX;;177.9921647
LUX;;177.9750722
LUX;;177.9572244
LUX;;177.9396771
LUX;;177.9234208
LUX;;177.9080395
LUX;;177.8927981
LUX;;177.8778029
LUX;;
MAC;;
MDG;77.48;165.6283292
MDG;78.88;165.6250221
MDG;79.48;165.6112307
MDG;80.32;165.5859108
MDG;72.56;165.5505921
MDG;84.52;165.5064499
MDG;83.64;165.4546881
MDG;83.96;165.3972271
MDG;77.4;165.3365346
MDG;75.04;165.2736723
MDG;70.76;165.2095307
MDG;71.52;165.1442453
MDG;70.68;165.0790871
MDG;68.76;165.0130191
MDG;69.68;164.9443868
MDG;68.48;164.8707837
MDG;59.48;164.7899554
MDG;78.04;164.7005997
MDG;70.16;164.6024969
MDG;69.04;164.4957774
MDG;69.56;164.3801255
MDG;67.52;164.254908
MDG;66.44;164.1181193
MDG;66.12;163.9694026
MDG;65.24;163.807603
MDG;67.12;163.6330199
MDG;65.72;163.4461266
MDG;66.28;163.249384
MDG;63.92;163.045467
MDG;63.6;162.8356549
MDG;61.48;162.6223378
MDG;61.56;162.4077098
MDG;60.04;162.1926462
MDG;57.24;161.9774347
MDG;55.88;161.7625699
MDG;57.52;
MDG;53.48;
MDG;51.88;
MDG;50.16;
MDG;42.4;
MDG;41.76;
MDG;41.16;
MDG;40.8;
MDG;43.64;
MDG;44.12;
MDG;44.24;
MDG;43.44;
MDG;43.2;
MDG;42.64;
MDG;41.76;
MDG;41.24;
MDG;40.08;
MDG;;158.6822316
MDG;;158.7997246
MDG;;158.9174575
MDG;;159.0354313
MDG;;159.1534727
MDG;;159.2718174
MDG;;159.3905918
MDG;;159.5093793
MDG;;159.6285997
MDG;;159.7478156
MDG;;159.866683
MDG;;159.9862385
MDG;;160.1062749
MDG;;160.2265189
MDG;;160.347843
MDG;;160.4706039
MDG;;160.5953564
MDG;;160.7216938
MDG;;160.8494158
MDG;;160.9780973
MDG;;161.107653
MDG;;161.2378121
MDG;;161.3689472
MDG;;161.4994767
MDG;;161.6290551
MDG;;161.7570869
MDG;;161.8827577
MDG;;162.0063752
MDG;;162.1289438
MDG;;162.2524516
MDG;;162.3785468
MDG;;162.5079958
MDG;;162.6412225
MDG;;162.777243
MDG;;162.9151398
MDG;;163.0539056
MDG;;163.1918282
MDG;;163.3293652
MDG;;163.4659427
MDG;;163.6012093
MDG;;163.7341791
MDG;;163.8641495
MDG;;163.9899135
MDG;;164.111401
MDG;;164.2285769
MDG;;164.3418523
MDG;;164.4521654
MDG;;164.5603604
MDG;;164.6662176
MDG;;164.768604
MDG;;164.8680532
MDG;;164.9630787
MDG;;165.0538028
MDG;;165.1396245
MDG;;165.2195416
MDG;;165.2921874
MDG;;165.3569844
MDG;;165.4139446
MDG;;165.4631045
MDG;;165.5048644
MDG;;165.5397352
MDG;;165.5689508
MDG;;165.5928881
MDG;;165.6107951
MDG;;165.623146
MDG;;
MWI;12.64;165.6530629
MWI;14.32;165.6582408
MWI;15.36;165.6547371
MWI;15.16;165.6409652
MWI;19.04;165.6182521
MWI;18.32;165.5879134
MWI;18.44;165.550806
MWI;19.36;165.5091764
MWI;22.24;165.4653463
MWI;23.96;165.4204781
MWI;26.24;165.3751977
MWI;27.92;165.3296402
MWI;27.52;165.2846341
MWI;27.44;165.2392367
MWI;26.12;165.1916365
MWI;27.68;165.1394348
MWI;25.76;165.0802101
MWI;26.44;165.012287
MWI;24;164.9355152
MWI;24.4;164.8498445
MWI;23.08;164.7552803
MWI;24.32;164.6508958
MWI;24.84;164.5351293
MWI;23.68;164.4076922
MWI;22.28;164.2669905
MWI;24.4;164.1133574
MWI;24.44;163.9471811
MWI;21.84;163.7707727
MWI;20.08;163.5869962
MWI;19.6;163.397098
MWI;18.88;163.203797
MWI;19.36;163.0091545
MWI;19.08;162.8137966
MWI;17.28;162.6184097
MWI;16.76;162.4232067
MWI;17.44;
MWI;15.68;
MWI;16.24;
MWI;17.24;
MWI;16.4;
MWI;15.12;
MWI;16.36;
MWI;17.24;
MWI;17.44;
MWI;18.44;
MWI;19.56;
MWI;21.96;
MWI;22.68;
MWI;24.68;
MWI;24.32;
MWI;28.64;
MWI;31.16;
MWI;;159.2063688
MWI;;159.3186387
MWI;;159.4307476
MWI;;159.5428857
MWI;;159.6551291
MWI;;159.7673117
MWI;;159.8801824
MWI;;159.9927077
MWI;;160.1052534
MWI;;160.2179207
MWI;;160.3305734
MWI;;160.4434862
MWI;;160.5565192
MWI;;160.6698087
MWI;;160.7841653
MWI;;160.8998068
MWI;;161.0172012
MWI;;161.1364203
MWI;;161.2566367
MWI;;161.3780109
MWI;;161.500685
MWI;;161.6239164
MWI;;161.7478767
MWI;;161.8712637
MWI;;161.9937029
MWI;;162.1144303
MWI;;162.2329357
MWI;;162.3493939
MWI;;162.4648116
MWI;;162.5809477
MWI;;162.6996069
MWI;;162.8215782
MWI;;162.9469177
MWI;;163.0746376
MWI;;163.2041491
MWI;;163.3339798
MWI;;163.4623337
MWI;;163.590271
MWI;;163.7171444
MWI;;163.8428792
MWI;;163.9660136
MWI;;164.0855869
MWI;;164.2010651
MWI;;164.3115867
MWI;;164.4171712
MWI;;164.5182435
MWI;;164.6156753
MWI;;164.710503
MWI;;164.8024251
MWI;;164.8905505
MWI;;164.9754525
MWI;;165.0563783
MWI;;165.1329863
MWI;;165.2052841
MWI;;165.2725129
MWI;;165.3337051
MWI;;165.3884889
MWI;;165.4375482
MWI;;165.4803812
MWI;;165.5177165
MWI;;165.5499462
MWI;;165.5782153
MWI;;165.6029609
MWI;;165.6236703
MWI;;165.6409082
MWI;;
MYS;55.68;166.0740779
MYS;57.84;166.158506
MYS;60.16;166.2350516
MYS;58.56;166.3027029
MYS;58.76;166.3627701
MYS;63.52;166.417154
MYS;67.04;166.4686438
MYS;69.64;166.5184987
MYS;68.52;166.5692898
MYS;66.48;166.6217264
MYS;67.04;166.6771362
MYS;65.56;166.735672
MYS;73.2;166.7981487
MYS;83.28;166.8640365
MYS;86.56;166.9328903
MYS;89.48;167.0024347
MYS;100.76;167.069869
MYS;105.08;167.13441
MYS;105.52;167.1961093
MYS;103.6;167.255418
MYS;107.68;167.3139736
MYS;109.12;167.3709249
MYS;113.84;167.4246854
MYS;122.6;167.4743414
MYS;119.96;167.519994
MYS;119.92;167.5622195
MYS;125.92;167.6004069
MYS;124.88;167.6354352
MYS;127.56;167.6688797
MYS;137.48;167.7012694
MYS;147.52;167.7333791
MYS;158.28;167.7651166
MYS;161.36;167.7963161
MYS;167.08;167.826449
MYS;176.32;167.855915
MYS;178.4;
MYS;165.88;
MYS;170.48;
MYS;169.92;
MYS;166.36;
MYS;170.36;
MYS;166.92;
MYS;168;
MYS;169.36;
MYS;170.76;
MYS;171.6;
MYS;162.28;
MYS;170.6;
MYS;177.28;
MYS;172.76;
MYS;177.16;
MYS;181.6;
MYS;;157.5712063
MYS;;157.7101902
MYS;;157.8493012
MYS;;157.9882386
MYS;;158.1270797
MYS;;158.266131
MYS;;158.4051753
MYS;;158.5437119
MYS;;158.6819074
MYS;;158.8195152
MYS;;158.9564546
MYS;;159.0929301
MYS;;159.2292492
MYS;;159.3652685
MYS;;159.5018559
MYS;;159.639722
MYS;;159.7791971
MYS;;159.9196328
MYS;;160.0607337
MYS;;160.201294
MYS;;160.3407053
MYS;;160.4789733
MYS;;160.615663
MYS;;160.7491173
MYS;;160.8791028
MYS;;161.0051582
MYS;;161.1267378
MYS;;161.244442
MYS;;161.359115
MYS;;161.4736692
MYS;;161.5885654
MYS;;161.7044906
MYS;;161.8217531
MYS;;161.9397611
MYS;;162.0586622
MYS;;162.1789433
MYS;;162.3005798
MYS;;162.4249848
MYS;;162.553224
MYS;;162.6857896
MYS;;162.8208536
MYS;;162.9572006
MYS;;163.09333
MYS;;163.2281192
MYS;;163.3613655
MYS;;163.4937335
MYS;;163.627399
MYS;;163.7642659
MYS;;163.9038017
MYS;;164.0456396
MYS;;164.1898227
MYS;;164.3356024
MYS;;164.4824247
MYS;;164.629159
MYS;;164.7749659
MYS;;164.9183212
MYS;;165.0575646
MYS;;165.1925541
MYS;;165.3226686
MYS;;165.4470887
MYS;;165.56554
MYS;;165.6787289
MYS;;165.7861594
MYS;;165.8873378
MYS;;165.9832971
MYS;;
MDV;23.4;162.9977259
MDV;28.64;163.1236613
MDV;28.28;163.2440367
MDV;33.2;163.3575961
MDV;101.24;163.4655351
MDV;103.64;163.5697091
MDV;117.4;163.6729201
MDV;110.32;163.7767255
MDV;103.2;163.8838486
MDV;161.84;163.9946821
MDV;126.76;164.1104531
MDV;112.48;164.2317321
MDV;139.68;164.3591759
MDV;139.92;164.4930183
MDV;130.44;164.6324384
MDV;134.72;164.7754925
MDV;104.44;164.919384
MDV;122.24;165.0635118
MDV;106.2;165.2080359
MDV;113.56;165.353553
MDV;132.24;165.501278
MDV;125.6;165.6504634
MDV;167.4;165.8000444
MDV;196.08;165.948907
MDV;201.92;166.0968769
MDV;182.92;166.2440077
MDV;179.56;166.3893747
MDV;209.32;166.5336477
MDV;159;166.6776321
MDV;146.92;166.8218519
MDV;150.64;166.966439
MDV;204.52;167.1108325
MDV;247.24;167.2550456
MDV;266.52;167.3983099
MDV;223.48;167.5410607
MDV;234.72;
MDV;258;
MDV;279.12;
MDV;270.04;
MDV;285.4;
MDV;291.72;
MDV;226.24;
MDV;216.08;
MDV;272.4;
MDV;203.48;
MDV;248.84;
MDV;243.68;
MDV;271.04;
MDV;321.72;
MDV;319.76;
MDV;324.08;
MDV;343.84;
MDV;;155.8334727
MDV;;155.9244107
MDV;;156.0154592
MDV;;156.1065304
MDV;;156.1974922
MDV;;156.2888458
MDV;;156.3802952
MDV;;156.4713662
MDV;;156.5623587
MDV;;156.6530852
MDV;;156.742895
MDV;;156.832145
MDV;;156.9212138
MDV;;157.0103415
MDV;;157.1002414
MDV;;157.191773
MDV;;157.2849826
MDV;;157.3794672
MDV;;157.4750164
MDV;;157.5708625
MDV;;157.6660772
MDV;;157.7608329
MDV;;157.8547391
MDV;;157.9462546
MDV;;158.034796
MDV;;158.1203743
MDV;;158.2028304
MDV;;158.2828157
MDV;;158.361089
MDV;;158.4404203
MDV;;158.5218343
MDV;;158.6052381
MDV;;158.6914949
MDV;;158.7800396
MDV;;158.8710755
MDV;;158.9643239
MDV;;159.0603924
MDV;;159.1606944
MDV;;159.2661438
MDV;;159.3774543
MDV;;159.4928727
MDV;;159.610867
MDV;;159.7306676
MDV;;159.8509269
MDV;;159.9719296
MDV;;160.0942244
MDV;;160.2199471
MDV;;160.3513303
MDV;;160.4878901
MDV;;160.6292942
MDV;;160.7756991
MDV;;160.9260361
MDV;;161.079817
MDV;;161.2360796
MDV;;161.3943798
MDV;;161.5529654
MDV;;161.7100517
MDV;;161.8654784
MDV;;162.0183799
MDV;;162.1680706
MDV;;162.3144465
MDV;;162.4580064
MDV;;162.5981276
MDV;;162.7346426
MDV;;162.8677082
MDV;;
MLI;57.12;172.7812801
MLI;60.72;172.8693126
MLI;63.24;172.9475763
MLI;64.8;173.0144146
MLI;68.2;173.0706216
MLI;71.16;173.1175184
MLI;72.88;173.156727
MLI;74.4;173.1901683
MLI;77.24;173.2194965
MLI;76.52;173.2454235
MLI;75.04;173.2684896
MLI;65.32;173.2882521
MLI;59.8;173.3056534
MLI;61.08;173.3201089
MLI;66.64;173.3300862
MLI;69.24;173.3328307
MLI;70.76;173.3256405
MLI;73.76;173.3067545
MLI;72.6;173.2760822
MLI;74.4;173.233064
MLI;73.64;173.1781937
MLI;72.84;173.1109538
MLI;66.32;173.0293741
MLI;64.64;172.9342173
MLI;61.52;172.825351
MLI;66.24;172.703346
MLI;64.68;172.5686392
MLI;66.84;172.4232711
MLI;70.32;172.2700341
MLI;75.4;172.1107989
MLI;71;171.9479841
MLI;65.28;171.7834766
MLI;63.76;171.6179648
MLI;62.28;171.4520276
MLI;70.12;171.2859595
MLI;67.36;
MLI;69.64;
MLI;70;
MLI;66.64;
MLI;68.12;
MLI;71.8;
MLI;78.4;
MLI;78.72;
MLI;85.04;
MLI;86.72;
MLI;91.6;
MLI;94.48;
MLI;98.16;
MLI;97.84;
MLI;99.6;
MLI;84.4;
MLI;94.76;
MLI;;165.0884482
MLI;;165.1710859
MLI;;165.2538485
MLI;;165.3367304
MLI;;165.4192558
MLI;;165.501675
MLI;;165.5848208
MLI;;165.6684656
MLI;;165.7528012
MLI;;165.8369936
MLI;;165.9212598
MLI;;166.0065515
MLI;;166.0930647
MLI;;166.1801589
MLI;;166.2688146
MLI;;166.3595041
MLI;;166.4528121
MLI;;166.5485809
MLI;;166.6460549
MLI;;166.7457057
MLI;;166.8473444
MLI;;166.9509078
MLI;;167.0564358
MLI;;167.1626507
MLI;;167.2691259
MLI;;167.3756434
MLI;;167.4820267
MLI;;167.5887628
MLI;;167.6964649
MLI;;167.807657
MLI;;167.9232013
MLI;;168.0441474
MLI;;168.1710217
MLI;;168.3029475
MLI;;168.4396222
MLI;;168.5797045
MLI;;168.7222149
MLI;;168.8669981
MLI;;169.013996
MLI;;169.1632684
MLI;;169.3137498
MLI;;169.4648724
MLI;;169.6154361
MLI;;169.7650769
MLI;;169.9134414
MLI;;170.0609199
MLI;;170.2085763
MLI;;170.3580749
